Clase de disolución;Comunidades y Ciudades Autónomas;Periodo;Total
Total;Total Nacional;2025M05;1.706
Total;Total Nacional;2025M04;1.653
Total;Total Nacional;2025M03;1.984
Total;Total Nacional;2025M02;2.558
Total;Total Nacional;2025M01;3.907
Total;Total Nacional;2024M12;3.243
Total;Total Nacional;2024M11;2.282
Total;Total Nacional;2024M10;2.153
Total;Total Nacional;2024M09;1.391
Total;Total Nacional;2024M08;1.361
Total;Total Nacional;2024M07;1.585
Total;Total Nacional;2024M06;1.560
Total;Total Nacional;2024M05;1.361
Total;Total Nacional;2024M04;1.847
Total;Total Nacional;2024M03;1.829
Total;Total Nacional;2024M02;2.547
Total;Total Nacional;2024M01;3.937
Total;Total Nacional;2023M12;2.686
Total;Total Nacional;2023M11;2.201
Total;Total Nacional;2023M10;1.884
Total;Total Nacional;2023M09;1.245
Total;Total Nacional;2023M08;1.349
Total;Total Nacional;2023M07;1.548
Total;Total Nacional;2023M06;1.657
Total;Total Nacional;2023M05;1.703
Total;Total Nacional;2023M04;1.542
Total;Total Nacional;2023M03;2.339
Total;Total Nacional;2023M02;2.705
Total;Total Nacional;2023M01;3.935
Total;Total Nacional;2022M12;3.248
Total;Total Nacional;2022M11;2.654
Total;Total Nacional;2022M10;1.922
Total;Total Nacional;2022M09;1.430
Total;Total Nacional;2022M08;1.559
Total;Total Nacional;2022M07;1.624
Total;Total Nacional;2022M06;1.701
Total;Total Nacional;2022M05;1.729
Total;Total Nacional;2022M04;1.663
Total;Total Nacional;2022M03;2.560
Total;Total Nacional;2022M02;2.432
Total;Total Nacional;2022M01;3.716
Total;Total Nacional;2021M12;3.051
Total;Total Nacional;2021M11;2.133
Total;Total Nacional;2021M10;1.763
Total;Total Nacional;2021M09;1.279
Total;Total Nacional;2021M08;1.275
Total;Total Nacional;2021M07;1.504
Total;Total Nacional;2021M06;1.571
Total;Total Nacional;2021M05;1.722
Total;Total Nacional;2021M04;1.860
Total;Total Nacional;2021M03;2.132
Total;Total Nacional;2021M02;2.503
Total;Total Nacional;2021M01;3.015
Total;Total Nacional;2020M12;3.022
Total;Total Nacional;2020M11;2.062
Total;Total Nacional;2020M10;1.589
Total;Total Nacional;2020M09;1.624
Total;Total Nacional;2020M08;1.123
Total;Total Nacional;2020M07;1.435
Total;Total Nacional;2020M06;1.115
Total;Total Nacional;2020M05;482
Total;Total Nacional;2020M04;404
Total;Total Nacional;2020M03;1.470
Total;Total Nacional;2020M02;2.418
Total;Total Nacional;2020M01;3.556
Total;Total Nacional;2019M12;2.719
Total;Total Nacional;2019M11;1.982
Total;Total Nacional;2019M10;1.743
Total;Total Nacional;2019M09;1.255
Total;Total Nacional;2019M08;1.167
Total;Total Nacional;2019M07;1.625
Total;Total Nacional;2019M06;1.255
Total;Total Nacional;2019M05;1.631
Total;Total Nacional;2019M04;1.610
Total;Total Nacional;2019M03;1.855
Total;Total Nacional;2019M02;2.311
Total;Total Nacional;2019M01;4.157
Total;Total Nacional;2018M12;2.647
Total;Total Nacional;2018M11;1.992
Total;Total Nacional;2018M10;1.665
Total;Total Nacional;2018M09;1.104
Total;Total Nacional;2018M08;1.357
Total;Total Nacional;2018M07;1.485
Total;Total Nacional;2018M06;1.370
Total;Total Nacional;2018M05;1.524
Total;Total Nacional;2018M04;1.486
Total;Total Nacional;2018M03;1.756
Total;Total Nacional;2018M02;2.291
Total;Total Nacional;2018M01;3.710
Total;Total Nacional;2017M12;2.597
Total;Total Nacional;2017M11;1.810
Total;Total Nacional;2017M10;1.507
Total;Total Nacional;2017M09;1.110
Total;Total Nacional;2017M08;1.228
Total;Total Nacional;2017M07;1.371
Total;Total Nacional;2017M06;1.431
Total;Total Nacional;2017M05;1.510
Total;Total Nacional;2017M04;1.317
Total;Total Nacional;2017M03;1.991
Total;Total Nacional;2017M02;2.247
Total;Total Nacional;2017M01;3.468
Total;Total Nacional;2016M12;2.604
Total;Total Nacional;2016M11;1.921
Total;Total Nacional;2016M10;1.543
Total;Total Nacional;2016M09;1.223
Total;Total Nacional;2016M08;1.239
Total;Total Nacional;2016M07;1.341
Total;Total Nacional;2016M06;1.468
Total;Total Nacional;2016M05;1.352
Total;Total Nacional;2016M04;1.535
Total;Total Nacional;2016M03;1.776
Total;Total Nacional;2016M02;2.204
Total;Total Nacional;2016M01;3.017
Total;Total Nacional;2015M12;2.562
Total;Total Nacional;2015M11;1.773
Total;Total Nacional;2015M10;1.529
Total;Total Nacional;2015M09;1.273
Total;Total Nacional;2015M08;1.191
Total;Total Nacional;2015M07;1.434
Total;Total Nacional;2015M06;1.444
Total;Total Nacional;2015M05;1.362
Total;Total Nacional;2015M04;1.439
Total;Total Nacional;2015M03;1.786
Total;Total Nacional;2015M02;2.076
Total;Total Nacional;2015M01;2.889
Total;Total Nacional;2014M12;2.429
Total;Total Nacional;2014M11;1.799
Total;Total Nacional;2014M10;1.832
Total;Total Nacional;2014M09;1.321
Total;Total Nacional;2014M08;1.125
Total;Total Nacional;2014M07;1.568
Total;Total Nacional;2014M06;1.429
Total;Total Nacional;2014M05;1.439
Total;Total Nacional;2014M04;1.541
Total;Total Nacional;2014M03;1.981
Total;Total Nacional;2014M02;2.125
Total;Total Nacional;2014M01;3.285
Total;Total Nacional;2013M12;2.400
Total;Total Nacional;2013M11;2.148
Total;Total Nacional;2013M10;1.830
Total;Total Nacional;2013M09;1.375
Total;Total Nacional;2013M08;1.303
Total;Total Nacional;2013M07;1.857
Total;Total Nacional;2013M06;1.679
Total;Total Nacional;2013M05;1.933
Total;Total Nacional;2013M04;2.090
Total;Total Nacional;2013M03;1.938
Total;Total Nacional;2013M02;2.572
Total;Total Nacional;2013M01;3.491
Total;Total Nacional;2012M12;2.480
Total;Total Nacional;2012M11;1.915
Total;Total Nacional;2012M10;1.830
Total;Total Nacional;2012M09;1.227
Total;Total Nacional;2012M08;1.317
Total;Total Nacional;2012M07;1.641
Total;Total Nacional;2012M06;1.672
Total;Total Nacional;2012M05;1.750
Total;Total Nacional;2012M04;1.414
Total;Total Nacional;2012M03;2.082
Total;Total Nacional;2012M02;2.254
Total;Total Nacional;2012M01;3.084
Total;Total Nacional;2011M12;2.218
Total;Total Nacional;2011M11;1.686
Total;Total Nacional;2011M10;1.427
Total;Total Nacional;2011M09;1.224
Total;Total Nacional;2011M08;1.085
Total;Total Nacional;2011M07;1.217
Total;Total Nacional;2011M06;1.404
Total;Total Nacional;2011M05;1.446
Total;Total Nacional;2011M04;1.204
Total;Total Nacional;2011M03;2.001
Total;Total Nacional;2011M02;2.024
Total;Total Nacional;2011M01;2.848
Total;Total Nacional;2010M12;2.264
Total;Total Nacional;2010M11;1.602
Total;Total Nacional;2010M10;1.311
Total;Total Nacional;2010M09;1.085
Total;Total Nacional;2010M08;982
Total;Total Nacional;2010M07;1.188
Total;Total Nacional;2010M06;1.227
Total;Total Nacional;2010M05;1.430
Total;Total Nacional;2010M04;1.277
Total;Total Nacional;2010M03;1.591
Total;Total Nacional;2010M02;2.032
Total;Total Nacional;2010M01;2.511
Total;Total Nacional;2009M12;2.226
Total;Total Nacional;2009M11;1.503
Total;Total Nacional;2009M10;1.395
Total;Total Nacional;2009M09;1.069
Total;Total Nacional;2009M08;979
Total;Total Nacional;2009M07;1.085
Total;Total Nacional;2009M06;1.172
Total;Total Nacional;2009M05;1.067
Total;Total Nacional;2009M04;1.107
Total;Total Nacional;2009M03;1.547
Total;Total Nacional;2009M02;1.895
Total;Total Nacional;2009M01;2.371
Total;Total Nacional;2008M12;1.871
Total;Total Nacional;2008M11;1.479
Total;Total Nacional;2008M10;1.266
Total;Total Nacional;2008M09;1.198
Total;Total Nacional;2008M08;741
Total;Total Nacional;2008M07;1.061
Total;Total Nacional;2008M06;835
Total;Total Nacional;2008M05;1.088
Total;Total Nacional;2008M04;1.193
Total;Total Nacional;2008M03;1.066
Total;Total Nacional;2008M02;1.929
Total;Total Nacional;2008M01;2.495
Total;Total Nacional;2007M12;2.342
Total;Total Nacional;2007M11;1.693
Total;Total Nacional;2007M10;1.705
Total;Total Nacional;2007M09;1.282
Total;Total Nacional;2007M08;1.555
Total;Total Nacional;2007M07;2.037
Total;Total Nacional;2007M06;1.169
Total;Total Nacional;2007M05;1.039
Total;Total Nacional;2007M04;895
Total;Total Nacional;2007M03;1.211
Total;Total Nacional;2007M02;1.361
Total;Total Nacional;2007M01;1.758
Total;Total Nacional;2006M12;1.254
Total;Total Nacional;2006M11;1.013
Total;Total Nacional;2006M10;806
Total;Total Nacional;2006M09;722
Total;Total Nacional;2006M08;574
Total;Total Nacional;2006M07;635
Total;Total Nacional;2006M06;755
Total;Total Nacional;2006M05;814
Total;Total Nacional;2006M04;672
Total;Total Nacional;2006M03;1.029
Total;Total Nacional;2006M02;1.225
Total;Total Nacional;2006M01;1.572
Total;Total Nacional;2005M12;1.043
Total;Total Nacional;2005M11;843
Total;Total Nacional;2005M10;720
Total;Total Nacional;2005M09;679
Total;Total Nacional;2005M08;544
Total;Total Nacional;2005M07;608
Total;Total Nacional;2005M06;676
Total;Total Nacional;2005M05;681
