Total Nacional;Comunidades y Ciudades Autónomas;Producto consumido;Período;Total
Total Nacional;;Electricidad;2013;5734736
Total Nacional;;Electricidad;2011;5860467
Total Nacional;;Electricidad;2009;5245388
Total Nacional;;Gas;2013;3537949
Total Nacional;;Gas;2011;3213726
Total Nacional;;Gas;2009;2610574
Total Nacional;;Gasóleo;2013;758065
Total Nacional;;Gasóleo;2011;930618
Total Nacional;;Gasóleo;2009;868948
Total Nacional;;Fueloil;2013;332513
Total Nacional;;Fueloil;2011;430242
Total Nacional;;Fueloil;2009;320889
Total Nacional;;Otros productos petrolíferos;2013;124843
Total Nacional;;Otros productos petrolíferos;2011;178538
Total Nacional;;Otros productos petrolíferos;2009;140741
Total Nacional;;Carbón y derivados;2013;
Total Nacional;;Carbón y derivados;2011;243395
Total Nacional;;Carbón y derivados;2009;187808
Total Nacional;;Carbón y coque;2013;175963
Total Nacional;;Carbón y coque;2011;
Total Nacional;;Carbón y coque;2009;
Total Nacional;;Biocombustibles;2013;55453
Total Nacional;;Biocombustibles;2011;
Total Nacional;;Biocombustibles;2009;
Total Nacional;;Calor y otros consumos energéticos;2013;366674
Total Nacional;;Calor y otros consumos energéticos;2011;
Total Nacional;;Calor y otros consumos energéticos;2009;
Total Nacional;;Otros consumos energéticos;2013;
Total Nacional;;Otros consumos energéticos;2011;480432
Total Nacional;;Otros consumos energéticos;2009;30754
Total Nacional;;Total consumos energéticos;2013;11086196
Total Nacional;;Total consumos energéticos;2011;11337418
Total Nacional;;Total consumos energéticos;2009;9681887
Total Nacional;01 Andalucía;Electricidad;2013;574811
Total Nacional;01 Andalucía;Electricidad;2011;556087
Total Nacional;01 Andalucía;Electricidad;2009;518515
Total Nacional;01 Andalucía;Gas;2013;344394
Total Nacional;01 Andalucía;Gas;2011;307917
Total Nacional;01 Andalucía;Gas;2009;236496
Total Nacional;01 Andalucía;Gasóleo;2013;77224
Total Nacional;01 Andalucía;Gasóleo;2011;100313
Total Nacional;01 Andalucía;Gasóleo;2009;106574
Total Nacional;01 Andalucía;Fueloil;2013;60481
Total Nacional;01 Andalucía;Fueloil;2011;58072
Total Nacional;01 Andalucía;Fueloil;2009;38602
Total Nacional;01 Andalucía;Otros productos petrolíferos;2013;4497
Total Nacional;01 Andalucía;Otros productos petrolíferos;2011;52586
Total Nacional;01 Andalucía;Otros productos petrolíferos;2009;35054
Total Nacional;01 Andalucía;Carbón y derivados;2013;
Total Nacional;01 Andalucía;Carbón y derivados;2011;26225
Total Nacional;01 Andalucía;Carbón y derivados;2009;2323
Total Nacional;01 Andalucía;Carbón y coque;2013;23487
Total Nacional;01 Andalucía;Carbón y coque;2011;
Total Nacional;01 Andalucía;Carbón y coque;2009;
Total Nacional;01 Andalucía;Biocombustibles;2013;11212
Total Nacional;01 Andalucía;Biocombustibles;2011;
