Región Geográfica;Comunidades y Ciudades Autónomas;Índice y tasas;Periodo;Total
Nacional;;Índice;2025M05;125,576
Nacional;;Índice;2025M04;117,157
Nacional;;Índice;2025M03;126,437
Nacional;;Índice;2025M02;119,623
Nacional;;Índice;2025M01;113,279
Nacional;;Índice;2024M12;116,215
Nacional;;Índice;2024M11;124,81
Nacional;;Índice;2024M10;128,529
Nacional;;Índice;2024M09;120,028
Nacional;;Índice;2024M08;92,773
Nacional;;Índice;2024M07;126,321
Nacional;;Índice;2024M06;121,751
Nacional;;Índice;2024M05;128,025
Nacional;;Índice;2024M04;125,764
Nacional;;Índice;2024M03;118,367
Nacional;;Índice;2024M02;119,219
Nacional;;Índice;2024M01;113,531
Nacional;;Índice;2023M12;108,524
Nacional;;Índice;2023M11;127,308
Nacional;;Índice;2023M10;122,852
Nacional;;Índice;2023M09;121,672
Nacional;;Índice;2023M08;96,949
Nacional;;Índice;2023M07;119,846
Nacional;;Índice;2023M06;128,247
Nacional;;Índice;2023M05;129,717
Nacional;;Índice;2023M04;110,404
Nacional;;Índice;2023M03;134,862
Nacional;;Índice;2023M02;117,671
Nacional;;Índice;2023M01;112,019
Nacional;;Índice;2022M12;117,943
Nacional;;Índice;2022M11;129,764
Nacional;;Índice;2022M10;122,869
Nacional;;Índice;2022M09;128,916
Nacional;;Índice;2022M08;103,465
Nacional;;Índice;2022M07;126,413
Nacional;;Índice;2022M06;137,261
Nacional;;Índice;2022M05;132,757
Nacional;;Índice;2022M04;119,707
Nacional;;Índice;2022M03;122,981
Nacional;;Índice;2022M02;109,309
Nacional;;Índice;2022M01;99,915
Nacional;;Índice;2021M12;107,047
Nacional;;Índice;2021M11;114,704
Nacional;;Índice;2021M10;104,738
Nacional;;Índice;2021M09;105,822
Nacional;;Índice;2021M08;80,74
Nacional;;Índice;2021M07;104,64
Nacional;;Índice;2021M06;104,321
Nacional;;Índice;2021M05;100,271
Nacional;;Índice;2021M04;97,349
Nacional;;Índice;2021M03;107,664
Nacional;;Índice;2021M02;90,63
Nacional;;Índice;2021M01;82,075
Nacional;;Índice;2020M12;90,515
Nacional;;Índice;2020M11;96,335
Nacional;;Índice;2020M10;97,438
Nacional;;Índice;2020M09;94,367
Nacional;;Índice;2020M08;68,765
Nacional;;Índice;2020M07;94,639
Nacional;;Índice;2020M06;87,661
Nacional;;Índice;2020M05;70,804
Nacional;;Índice;2020M04;57,751
Nacional;;Índice;2020M03;88,079
Nacional;;Índice;2020M02;95,579
Nacional;;Índice;2020M01;91,166
Nacional;;Índice;2019M12;92,329
Nacional;;Índice;2019M11;98,627
Nacional;;Índice;2019M10;106,862
Nacional;;Índice;2019M09;97,353
Nacional;;Índice;2019M08;76,425
Nacional;;Índice;2019M07;105,968
Nacional;;Índice;2019M06;98,901
Nacional;;Índice;2019M05;106,219
Nacional;;Índice;2019M04;97,315
Nacional;;Índice;2019M03;102,328
Nacional;;Índice;2019M02;94,904
Nacional;;Índice;2019M01;92,535
Nacional;;Índice;2018M12;88,096
Nacional;;Índice;2018M11;101,476
Nacional;;Índice;2018M10;106,669
Nacional;;Índice;2018M09;96,225
Nacional;;Índice;2018M08;79,32
Nacional;;Índice;2018M07;102,89
Nacional;;Índice;2018M06;104,294
Nacional;;Índice;2018M05;105,467
Nacional;;Índice;2018M04;98,062
Nacional;;Índice;2018M03;98,925
Nacional;;Índice;2018M02;91,825
Nacional;;Índice;2018M01;92,08
Nacional;;Índice;2017M12;90,098
Nacional;;Índice;2017M11;100,721
Nacional;;Índice;2017M10;98,622
Nacional;;Índice;2017M09;96,455
Nacional;;Índice;2017M08;74,723
Nacional;;Índice;2017M07;93,584
Nacional;;Índice;2017M06;99,517
Nacional;;Índice;2017M05;100,358
Nacional;;Índice;2017M04;84,77
Nacional;;Índice;2017M03;103,151
Nacional;;Índice;2017M02;88,386
Nacional;;Índice;2017M01;83,71
Nacional;;Índice;2016M12;85,701
Nacional;;Índice;2016M11;93,546
Nacional;;Índice;2016M10;88,667
Nacional;;Índice;2016M09;90,296
Nacional;;Índice;2016M08;69,407
Nacional;;Índice;2016M07;88,55
Nacional;;Índice;2016M06;93,406
Nacional;;Índice;2016M05;89,288
Nacional;;Índice;2016M04;88,431
Nacional;;Índice;2016M03;89,404
Nacional;;Índice;2016M02;84,518
Nacional;;Índice;2016M01;74,173
Nacional;;Índice;2015M12;83,735
Nacional;;Índice;2015M11;87,958
Nacional;;Índice;2015M10;89,328
Nacional;;Índice;2015M09;89,811
Nacional;;Índice;2015M08;65,153
Nacional;;Índice;2015M07;96,391
Nacional;;Índice;2015M06;94,031
Nacional;;Índice;2015M05;89,007
Nacional;;Índice;2015M04;84,511
Nacional;;Índice;2015M03;92,242
Nacional;;Índice;2015M02;81,965
Nacional;;Índice;2015M01;75,729
Nacional;;Índice;2014M12;81,308
Nacional;;Índice;2014M11;83,881
Nacional;;Índice;2014M10;91,369
Nacional;;Índice;2014M09;88,533
Nacional;;Índice;2014M08;65,109
Nacional;;Índice;2014M07;93,312
Nacional;;Índice;2014M06;88,68
Nacional;;Índice;2014M05;88,474
Nacional;;Índice;2014M04;85,455
Nacional;;Índice;2014M03;87,222
Nacional;;Índice;2014M02;81,24
Nacional;;Índice;2014M01;78,877
Nacional;;Índice;2013M12;79,569
Nacional;;Índice;2013M11;84,224
Nacional;;Índice;2013M10;90,693
Nacional;;Índice;2013M09;85,285
Nacional;;Índice;2013M08;66,255
Nacional;;Índice;2013M07;91,774
Nacional;;Índice;2013M06;85,148
Nacional;;Índice;2013M05;89,219
Nacional;;Índice;2013M04;86,953
Nacional;;Índice;2013M03;83,36
Nacional;;Índice;2013M02;81,303
Nacional;;Índice;2013M01;80,947
