Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;2023;-0,33
Total Nacional;2022;2,6
Total Nacional;2021;4
Total Nacional;2020;-6,84
Total Nacional;2019;-0,67
Total Nacional;2018;0,21
Total Nacional;2017;0,26
Total Nacional;2016;0,76
Total Nacional;2015;1,14
Andalucía;2023;0
Andalucía;2022;1,27
Andalucía;2021;3,28
Andalucía;2020;-6,41
Andalucía;2019;-0,73
Andalucía;2018;-0,05
Andalucía;2017;-0,22
Andalucía;2016;0,12
Andalucía;2015;1,1
Aragón;2023;0,41
Aragón;2022;0,86
Aragón;2021;4,06
Aragón;2020;-4,7
Aragón;2019;-1,1
Aragón;2018;0,56
Aragón;2017;-0,53
Aragón;2016;0
Aragón;2015;0,08
Asturias, Principado de;2023;0,56
Asturias, Principado de;2022;1,75
Asturias, Principado de;2021;2,72
Asturias, Principado de;2020;-5,57
Asturias, Principado de;2019;-0,1
Asturias, Principado de;2018;-0,26
Asturias, Principado de;2017;-0,04
Asturias, Principado de;2016;0,69
Asturias, Principado de;2015;1,03
Balears, Illes;2023;0,22
Balears, Illes;2022;7,97
Balears, Illes;2021;9,6
Balears, Illes;2020;-14,59
Balears, Illes;2019;-2,24
Balears, Illes;2018;0,19
Balears, Illes;2017;0,32
Balears, Illes;2016;2,02
Balears, Illes;2015;1,77
Canarias;2023;0,7
Canarias;2022;5,2
Canarias;2021;5,75
Canarias;2020;-11,99
Canarias;2019;-2,02
Canarias;2018;-0,07
Canarias;2017;0,03
Canarias;2016;0,18
Canarias;2015;-0,62
Cantabria;2023;-0,16
Cantabria;2022;2,85
Cantabria;2021;4,97
Cantabria;2020;-5,57
Cantabria;2019;-1,06
Cantabria;2018;0,45
Cantabria;2017;0,68
Cantabria;2016;0,81
Cantabria;2015;1,13
Castilla y León;2023;0,5
Castilla y León;2022;1,12
Castilla y León;2021;3,26
Castilla y León;2020;-4,38
Castilla y León;2019;-1,09
Castilla y León;2018;1,25
Castilla y León;2017;-0,82
Castilla y León;2016;1,07
Castilla y León;2015;0,39
Castilla - La Mancha;2023;1,03
Castilla - La Mancha;2022;-0,04
Castilla - La Mancha;2021;2,64
Castilla - La Mancha;2020;-5,31
Castilla - La Mancha;2019;-1,06
Castilla - La Mancha;2018;1,21
Castilla - La Mancha;2017;-0,17
Castilla - La Mancha;2016;0,75
Castilla - La Mancha;2015;1,72
Cataluña;2023;-0,39
Cataluña;2022;3,24
Cataluña;2021;4,87
Cataluña;2020;-8
Cataluña;2019;-0,69
Cataluña;2018;-0,11
Cataluña;2017;-0,4
Cataluña;2016;0,72
Cataluña;2015;1,36
Comunitat Valenciana;2023;-1,05
Comunitat Valenciana;2022;1,96
Comunitat Valenciana;2021;4,55
Comunitat Valenciana;2020;-6,44
Comunitat Valenciana;2019;-1,18
Comunitat Valenciana;2018;0,02
Comunitat Valenciana;2017;1,13
Comunitat Valenciana;2016;-0,36
Comunitat Valenciana;2015;0,48
Extremadura;2023;0,09
Extremadura;2022;-1,17
Extremadura;2021;2,01
Extremadura;2020;-5,82
Extremadura;2019;-0,45
Extremadura;2018;0,14
Extremadura;2017;0,44
Extremadura;2016;-0,86
Extremadura;2015;0,71
Galicia;2023;-0,05
Galicia;2022;2,52
Galicia;2021;4,13
Galicia;2020;-5,17
Galicia;2019;-0,63
Galicia;2018;0,65
Galicia;2017;1,09
Galicia;2016;1,18
Galicia;2015;2,27
Madrid, Comunidad de;2023;-1,03
Madrid, Comunidad de;2022;3,36
Madrid, Comunidad de;2021;3,08
Madrid, Comunidad de;2020;-7,04
Madrid, Comunidad de;2019;0,08
Madrid, Comunidad de;2018;0,37
Madrid, Comunidad de;2017;0,97
Madrid, Comunidad de;2016;2,22
Madrid, Comunidad de;2015;0,95
Murcia, Región de;2023;-0,55
Murcia, Región de;2022;0,84
Murcia, Región de;2021;3,71
Murcia, Región de;2020;-4,64
Murcia, Región de;2019;-0,15
Murcia, Región de;2018;-1,44
Murcia, Región de;2017;-0,06
Murcia, Región de;2016;-0,12
Murcia, Región de;2015;4,57
Navarra, Comunidad Foral de;2023;-1,01
Navarra, Comunidad Foral de;2022;1,92
Navarra, Comunidad Foral de;2021;5,32
Navarra, Comunidad Foral de;2020;-6,03
Navarra, Comunidad Foral de;2019;-0,54
Navarra, Comunidad Foral de;2018;-0,18
Navarra, Comunidad Foral de;2017;0,97
Navarra, Comunidad Foral de;2016;0,18
Navarra, Comunidad Foral de;2015;0,66
País Vasco;2023;-0,98
País Vasco;2022;4,53
País Vasco;2021;4,15
País Vasco;2020;-5,99
País Vasco;2019;-0,27
País Vasco;2018;0,71
País Vasco;2017;0,75
País Vasco;2016;0,46
País Vasco;2015;1,32
Rioja, La;2023;-0,35
Rioja, La;2022;3,05
Rioja, La;2021;3,36
Rioja, La;2020;-5,39
Rioja, La;2019;-0,73
Rioja, La;2018;0,16
Rioja, La;2017;-0,84
Rioja, La;2016;0,39
Rioja, La;2015;1,84
Ceuta;2023;2,39
Ceuta;2022;3,45
Ceuta;2021;0,93
Ceuta;2020;-7,36
Ceuta;2019;0,73
Ceuta;2018;-0,17
Ceuta;2017;0,61
Ceuta;2016;0,73
Ceuta;2015;1,44
Melilla;2023;2,8
Melilla;2022;2,06
Melilla;2021;-0,23
Melilla;2020;-7,51
Melilla;2019;-0,69
Melilla;2018;-2,6
Melilla;2017;2,01
Melilla;2016;1,61
Melilla;2015;-0,27
