Utilización de la capacidad productiva en la industria;Principales indicadores;Periodo;Total
Menos del 40%;Situación del trimestre anterior;2025T2;7
Menos del 40%;Situación del trimestre anterior;2025T1;5,4
Menos del 40%;Situación del trimestre anterior;2024T4;5,6
Menos del 40%;Situación del trimestre anterior;2024T3;5,5
Menos del 40%;Situación del trimestre anterior;2024T2;7,8
Menos del 40%;Situación del trimestre anterior;2024T1;6,1
Menos del 40%;Situación del trimestre anterior;2023T4;6,1
Menos del 40%;Situación del trimestre anterior;2023T3;6
Menos del 40%;Situación del trimestre anterior;2023T2;7,9
Menos del 40%;Situación del trimestre anterior;2023T1;6,9
Menos del 40%;Situación del trimestre anterior;2022T4;6,6
Menos del 40%;Situación del trimestre anterior;2022T3;6
Menos del 40%;Situación del trimestre anterior;2022T2;7,5
Menos del 40%;Situación del trimestre anterior;2022T1;7,3
Menos del 40%;Situación del trimestre anterior;2021T4;8,2
Menos del 40%;Situación del trimestre anterior;2021T3;10,5
Menos del 40%;Situación del trimestre anterior;2021T2;12
Menos del 40%;Situación del trimestre anterior;2021T1;11,6
Menos del 40%;Expectativas del trimestre entrante;2025T2;6
Menos del 40%;Expectativas del trimestre entrante;2025T1;6,5
Menos del 40%;Expectativas del trimestre entrante;2024T4;5,2
Menos del 40%;Expectativas del trimestre entrante;2024T3;5,9
Menos del 40%;Expectativas del trimestre entrante;2024T2;6,4
Menos del 40%;Expectativas del trimestre entrante;2024T1;6,8
Menos del 40%;Expectativas del trimestre entrante;2023T4;5,7
Menos del 40%;Expectativas del trimestre entrante;2023T3;6,5
Menos del 40%;Expectativas del trimestre entrante;2023T2;6,5
Menos del 40%;Expectativas del trimestre entrante;2023T1;7,7
Menos del 40%;Expectativas del trimestre entrante;2022T4;7
Menos del 40%;Expectativas del trimestre entrante;2022T3;6,4
Menos del 40%;Expectativas del trimestre entrante;2022T2;7,2
Menos del 40%;Expectativas del trimestre entrante;2022T1;7,9
Menos del 40%;Expectativas del trimestre entrante;2021T4;7,5
Menos del 40%;Expectativas del trimestre entrante;2021T3;9,6
Menos del 40%;Expectativas del trimestre entrante;2021T2;10,6
Menos del 40%;Expectativas del trimestre entrante;2021T1;11,3
Del 40% al 54%;Situación del trimestre anterior;2025T2;7,5
Del 40% al 54%;Situación del trimestre anterior;2025T1;6,4
Del 40% al 54%;Situación del trimestre anterior;2024T4;8,2
Del 40% al 54%;Situación del trimestre anterior;2024T3;6,5
Del 40% al 54%;Situación del trimestre anterior;2024T2;6,2
Del 40% al 54%;Situación del trimestre anterior;2024T1;7
Del 40% al 54%;Situación del trimestre anterior;2023T4;6,9
Del 40% al 54%;Situación del trimestre anterior;2023T3;6,3
Del 40% al 54%;Situación del trimestre anterior;2023T2;6,1
Del 40% al 54%;Situación del trimestre anterior;2023T1;6,2
Del 40% al 54%;Situación del trimestre anterior;2022T4;7
