Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Forma jurídica;Número de sociedades y capital (en miles de euros);Periodo;Total
Total Nacional;;;Total;Número de Sociedades;2023;108182
Total Nacional;;;Total;Número de Sociedades;2022;99116
Total Nacional;;;Total;Número de Sociedades;2021;101210
Total Nacional;;;Total;Número de Sociedades;2020;79200
Total Nacional;;;Total;Número de Sociedades;2019;93951
Total Nacional;;;Total;Número de Sociedades;2018;95121
Total Nacional;;;Total;Número de Sociedades;2017;94370
Total Nacional;;;Total;Número de Sociedades;2016;101047
Total Nacional;;;Total;Número de Sociedades;2015;94644
Total Nacional;;;Total;Número de Sociedades;2014;94158
Total Nacional;;;Total;Número de Sociedades;2013;93420
Total Nacional;;;Total;Número de Sociedades;2012;87182
Total Nacional;;;Total;Número de Sociedades;2011;84812
Total Nacional;;;Total;Número de Sociedades;2010;79994
Total Nacional;;;Total;Número de Sociedades;2009;78204
Total Nacional;;;Total;Número de Sociedades;2008;103565
Total Nacional;;;Total;Número de Sociedades;2007;142763
Total Nacional;;;Total;Número de Sociedades;2006;148964
Total Nacional;;;Total;Número de Sociedades;2005;138981
Total Nacional;;;Total;Número de Sociedades;2004;130992
Total Nacional;;;Total;Número de Sociedades;2003;123750
Total Nacional;;;Total;Número de Sociedades;2002;114738
Total Nacional;;;Total;Número de Sociedades;2001;110648
Total Nacional;;;Total;Número de Sociedades;2000;115493
Total Nacional;;;Total;capital (en miles de euros) suscrito;2023;6296609
Total Nacional;;;Total;capital (en miles de euros) suscrito;2022;5190288
Total Nacional;;;Total;capital (en miles de euros) suscrito;2021;5043596
Total Nacional;;;Total;capital (en miles de euros) suscrito;2020;4912482
Total Nacional;;;Total;capital (en miles de euros) suscrito;2019;5563535
Total Nacional;;;Total;capital (en miles de euros) suscrito;2018;5200782
Total Nacional;;;Total;capital (en miles de euros) suscrito;2017;5262429
Total Nacional;;;Total;capital (en miles de euros) suscrito;2016;6292376
Total Nacional;;;Total;capital (en miles de euros) suscrito;2015;7355949
Total Nacional;;;Total;capital (en miles de euros) suscrito;2014;7408305
Total Nacional;;;Total;capital (en miles de euros) suscrito;2013;6727652
Total Nacional;;;Total;capital (en miles de euros) suscrito;2012;7629712
Total Nacional;;;Total;capital (en miles de euros) suscrito;2011;21385174
Total Nacional;;;Total;capital (en miles de euros) suscrito;2010;8000738
Total Nacional;;;Total;capital (en miles de euros) suscrito;2009;4792279
Total Nacional;;;Total;capital (en miles de euros) suscrito;2008;8046962
Total Nacional;;;Total;capital (en miles de euros) suscrito;2007;13733226
Total Nacional;;;Total;capital (en miles de euros) suscrito;2006;10576198
