Nacional;Comunidades y Ciudades Autonomas;Sexo;Periodo;Total
Total;;Total;2021;47385107
Total;;Total;2020;47450795
Total;;Total;2019;47026208
Total;;Total;2018;46722980
Total;;Total;2017;46572132
Total;;Total;2016;46557008
Total;;Total;2015;46624382
Total;;Total;2014;46771341
Total;;Total;2013;47129783
Total;;Total;2012;47265321
Total;;Total;2011;47190493
Total;;Total;2010;47021031
Total;;Total;2009;46745807
Total;;Total;2008;46157822
Total;;Total;2007;45200737
Total;;Total;2006;44708964
Total;;Total;2005;44108530
Total;;Total;2004;43197684
Total;;Total;2003;42717064
Total;;Total;2002;41837894
Total;;Total;2001;41116842
Total;;Total;2000;40499791
Total;;Total;1999;40202160
Total;;Total;1998;39852651
Total;;Total;1997;""
Total;;Total;1996;39669394
Total;;Hombres;2021;23222953
Total;;Hombres;2020;23255590
Total;;Hombres;2019;23042428
Total;;Hombres;2018;22896602
Total;;Hombres;2017;22832861
Total;;Hombres;2016;22843610
Total;;Hombres;2015;22890383
Total;;Hombres;2014;22985676
Total;;Hombres;2013;23196386
Total;;Hombres;2012;23298356
Total;;Hombres;2011;23283187
Total;;Hombres;2010;23226185
Total;;Hombres;2009;23116988
Total;;Hombres;2008;22847737
Total;;Hombres;2007;22339962
Total;;Hombres;2006;22100466
Total;;Hombres;2005;21780869
Total;;Hombres;2004;21285247
Total;;Hombres;2003;21034326
Total;;Hombres;2002;20564089
Total;;Hombres;2001;20165514
Total;;Hombres;2000;19821384
Total;;Hombres;1999;19670642
Total;;Hombres;1998;19488465
Total;;Hombres;1997;""
Total;;Hombres;1996;19399549
Total;;Mujeres;2021;24162154
Total;;Mujeres;2020;24195205
Total;;Mujeres;2019;23983780
Total;;Mujeres;2018;23826378
Total;;Mujeres;2017;23739271
Total;;Mujeres;2016;23713398
Total;;Mujeres;2015;23733999
Total;;Mujeres;2014;23785665
Total;;Mujeres;2013;23933397
Total;;Mujeres;2012;23966965
Total;;Mujeres;2011;23907306
Total;;Mujeres;2010;23794846
Total;;Mujeres;2009;23628819
Total;;Mujeres;2008;23310085
Total;;Mujeres;2007;22860775
Total;;Mujeres;2006;22608498
Total;;Mujeres;2005;22327661
Total;;Mujeres;2004;21912437
Total;;Mujeres;2003;21682738
Total;;Mujeres;2002;21273805
Total;;Mujeres;2001;20951328
Total;;Mujeres;2000;20678407
Total;;Mujeres;1999;20531518
Total;;Mujeres;1998;20364186
Total;;Mujeres;1997;""
Total;;Mujeres;1996;20269845
Total;01 Andaluc?a;Total;2021;8472407
Total;01 Andaluc?a;Total;2020;8464411
Total;01 Andaluc?a;Total;2019;8414240
Total;01 Andaluc?a;Total;2018;8384408
Total;01 Andaluc?a;Total;2017;8379820
Total;01 Andaluc?a;Total;2016;8388107
Total;01 Andaluc?a;Total;2015;8399043
Total;01 Andaluc?a;Total;2014;8402305
Total;01 Andaluc?a;Total;2013;8440300
Total;01 Andaluc?a;Total;2012;8449985
Total;01 Andaluc?a;Total;2011;8424102
Total;01 Andaluc?a;Total;2010;8370975
Total;01 Andaluc?a;Total;2009;8302923
Total;01 Andaluc?a;Total;2008;8202220
Total;01 Andaluc?a;Total;2007;8059461
Total;01 Andaluc?a;Total;2006;7975672
Total;01 Andaluc?a;Total;2005;7849799
Total;01 Andaluc?a;Total;2004;7687518
Total;01 Andaluc?a;Total;2003;7606848
Total;01 Andaluc?a;Total;2002;7478432
Total;01 Andaluc?a;Total;2001;7403968
Total;01 Andaluc?a;Total;2000;7340052
Total;01 Andaluc?a;Total;1999;7305117
Total;01 Andaluc?a;Total;1998;7236459
Total;01 Andaluc?a;Total;1997;""
Total;01 Andaluc?a;Total;1996;7234873
Total;01 Andaluc?a;Hombres;2021;4173339
Total;01 Andaluc?a;Hombres;2020;4170605
Total;01 Andaluc?a;Hombres;2019;4147167
Total;01 Andaluc?a;Hombres;2018;4133898
Total;01 Andaluc?a;Hombres;2017;4133835
Total;01 Andaluc?a;Hombres;2016;4139194
Total;01 Andaluc?a;Hombres;2015;4144532
Total;01 Andaluc?a;Hombres;2014;4148701
Total;01 Andaluc?a;Hombres;2013;4170654
Total;01 Andaluc?a;Hombres;2012;4180285
Total;01 Andaluc?a;Hombres;2011;4169634
Total;01 Andaluc?a;Hombres;2010;4144856
Total;01 Andaluc?a;Hombres;2009;4113383
Total;01 Andaluc?a;Hombres;2008;4071500
Total;01 Andaluc?a;Hombres;2007;3999243
Total;01 Andaluc?a;Hombres;2006;3958565
Total;01 Andaluc?a;Hombres;2005;3889605
Total;01 Andaluc?a;Hombres;2004;3800208
Total;01 Andaluc?a;Hombres;2003;3757370
Total;01 Andaluc?a;Hombres;2002;3687421
Total;01 Andaluc?a;Hombres;2001;3647194
Total;01 Andaluc?a;Hombres;2000;3609412
Total;01 Andaluc?a;Hombres;1999;3592680
Total;01 Andaluc?a;Hombres;1998;3558950
Total;01 Andaluc?a;Hombres;1997;""
Total;01 Andaluc?a;Hombres;1996;3559436
Total;01 Andaluc?a;Mujeres;2021;4299068
Total;01 Andaluc?a;Mujeres;2020;4293806
Total;01 Andaluc?a;Mujeres;2019;4267073
Total;01 Andaluc?a;Mujeres;2018;4250510
Total;01 Andaluc?a;Mujeres;2017;4245985
Total;01 Andaluc?a;Mujeres;2016;4248913
Total;01 Andaluc?a;Mujeres;2015;4254511
Total;01 Andaluc?a;Mujeres;2014;4253604
Total;01 Andaluc?a;Mujeres;2013;4269646
Total;01 Andaluc?a;Mujeres;2012;4269700
