Variables;n_componentes;rho;phi_1;sigma2;MAPE;RMSE_rel
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,997837134897393;10,60251501239464;0,138908812073410;0,139868608668179
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998691830555067;7,62034882326484;0,146254060108680;0,140417364584151
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Gas_arima;3;-0,942567910495821;0,998998850645562;6,92661022819233;0,131530088176972;0,140431136195111
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima;3;-0,999000000000000;0,998894454786864;7,28163726391269;0,133474213511108;0,140783574863217
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima;3;-0,999000000000000;0,999000000000000;6,74799344755625;0,137608385654609;0,140933394576237
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Electricidad_arima;3;-0,999000000000000;0,998351977654653;8,25658943128424;0,135855786141012;0,142002703650963
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Electricidad_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998945980503085;7,48740903737621;0,152444418312121;0,142257879348528
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Carbón y derivados_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998547343755003;7,64152597495730;0,151928004426817;0,142722646268498
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998820914821115;8,03519671828050;0,181798064708116;0,142740863999007
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998961028983918;7,46126803150950;0,151974057310100;0,143677647316139
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, Electricidad_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,998323100564925;8,99199851478798;0,112204302069374;0,144036933354741
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, Gas_arima, Capital_arima;3;-0,998591150982640;0,998356572725174;8,93267396937628;0,110384848438155;0,145041490002099
Total_arima, ConsumoEuros_arima, ActivoHombres_arima, Electricidad_arima, Carbón y derivados_arima, Gas_arima;3;-0,999000000000000;0,998313065908750;9,15570498870810;0,106787433965272;0,145986710567879
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, EurosDesembolsado_arima;3;-0,989248417421816;0,998847218312519;6,17888077151750;0,167566518634275;0,146736444511944
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, ActivoHombres_arima, Electricidad_arima, Carbón y derivados_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;6,87019877651239;0,179690085900327;0,147266009202440
