Comunidad;ConsumoEuros;Anio;CCAA
CATALU?A;7080846,21;2000;09
ARAGON;1343516,45;2000;02
BALEARES;682645,83;2000;04
VALENCIA;4067766,35;2000;10
MURCIA;1059661,18;2000;14
ANDALUCIA;6599965,96;2000;01
MADRID;5133694,57;2000;13
CASTILLA-LA MANCHA;1736533,47;2000;08
EXTREMADURA;1034778,43;2000;11
CASTILLA Y LEON;2925889,35;2000;07
GALICIA;2651345,8;2000;12
ASTURIAS;1262711,39;2000;03
CANTABRIA;489845,59;2000;06
PAIS VASCO;2333249,58;2000;16
RIOJA;288115,74;2000;17
NAVARRA;599271,32;2000;15
CANARIAS;1452038,53;2000;05
CATALU?A;7614251,91;2001;09
ARAGON;1522227,93;2001;02
BALEARES;772879,49;2001;04
VALENCIA;4426124,52;2001;10
MURCIA;1109272,92;2001;14
ANDALUCIA;7387351,23;2001;01
MADRID;5573572,66;2001;13
CASTILLA-LA MANCHA;1877223,25;2001;08
EXTREMADURA;1112267,85;2001;11
CASTILLA Y LEON;3268222,23;2001;07
GALICIA;3058100,62;2001;12
ASTURIAS;1354559,4;2001;03
CANTABRIA;517210,76;2001;06
PAIS VASCO;2510095,01;2001;16
RIOJA;326549,06;2001;17
NAVARRA;693461,37;2001;15
CANARIAS;1613717,47;2001;05
CATALU?A;8168341,7;2002;09
ARAGON;1768334,15;2002;02
BALEARES;851347,28;2002;04
VALENCIA;4694222,83;2002;10
MURCIA;1209410,44;2002;14
ANDALUCIA;8231810,13;2002;01
MADRID;6055407,91;2002;13
CASTILLA-LA MANCHA;1989243,77;2002;08
EXTREMADURA;1130236,95;2002;11
CASTILLA Y LEON;3482272,79;2002;07
GALICIA;3451508,03;2002;12
ASTURIAS;1526843,46;2002;03
CANTABRIA;528086,9;2002;06
PAIS VASCO;2623170,19;2002;16
RIOJA;359326,24;2002;17
NAVARRA;681323,59;2002;15
CANARIAS;1758317,82;2002;05
CATALU?A;8708626,45;2003;09
ARAGON;1867114,52;2003;02
BALEARES;949742,12;2003;04
VALENCIA;4942958,01;2003;10
MURCIA;1293075,64;2003;14
ANDALUCIA;8543765,47;2003;01
MADRID;6382438,28;2003;13
CASTILLA-LA MANCHA;2040598,8;2003;08
EXTREMADURA;1102276,29;2003;11
CASTILLA Y LEON;3666366,72;2003;07
GALICIA;3449726,59;2003;12
ASTURIAS;1565203,49;2003;03
CANTABRIA;603151,1;2003;06
PAIS VASCO;2662515,59;2003;16
RIOJA;377155,39;2003;17
NAVARRA;665495,66;2003;15
CANARIAS;1896321,66;2003;05
CATALU?A;9091950,32;2004;09
ARAGON;1925649,39;2004;02
BALEARES;1035233,34;2004;04
VALENCIA;5484983,73;2004;10
MURCIA;1367161,74;2004;14
ANDALUCIA;9443532,34;2004;01
MADRID;6812258,11;2004;13
CASTILLA LA MANCHA;2244806,29;2004;08
EXTREMADURA;1203516,75;2004;11
CASTILLA LEON;3642766,05;2004;07
GALICIA;3665367,36;2004;12
ASTURIAS;1528053,14;2004;03
CANTABRIA;710088,3;2004;06
PAIS VASCO;2861337,43;2004;16
LA RIOJA;369074,95;2004;17
NAVARRA;793904,06;2004;15
CANARIAS;2051197,6;2004;05
CATALU?A;9391329,4;2005;09
ARAGON;1909543,28;2005;02
BALEARES;1120825,67;2005;04
VALENCIA;5598557,59;2005;10
MURCIA;1321930,99;2005;14
ANDALUCIA;9565911,66;2005;01
MADRID;6954590,67;2005;13
CASTILLA LA MANCHA;2418593,26;2005;08
EXTREMADURA;1247890,37;2005;11
CASTILLA LEON;3760462,81;2005;07
GALICIA;4045011,73;2005;12
ASTURIAS;1625544,17;2005;03
CANTABRIA;788625,6;2005;06
PAIS VASCO;2977020,51;2005;16
LA RIOJA;382602,97;2005;17
NAVARRA;926950,14;2005;15
CANARIAS;2139799,56;2005;05
CATALU?A;10055128,9;2006;09
ARAGON;1973437,46;2006;02
BALEARES;1138736,21;2006;04
VALENCIA;5854751,85;2006;10
MURCIA;1414699,36;2006;14
ANDALUCIA;10373987,89;2006;01
MADRID;7453885,14;2006;13
CASTILLA LA MANCHA;2520744,58;2006;08
EXTREMADURA;1385847,85;2006;11
CASTILLA LEON;4108217,65;2006;07
GALICIA;4222431,12;2006;12
ASTURIAS;1722257,92;2006;03
CANTABRIA;908752,41;2006;06
PAIS VASCO;3146469,2;2006;16
LA RIOJA;404754,68;2006;17
NAVARRA;958488,29;2006;15
CANARIAS;1717523,64;2006;05
CATALU?A;10619420,16;2007;09
ARAGON;2056408,62;2007;02
BALEARES;1174092,2;2007;04
VALENCIA;6241510,65;2007;10
MURCIA;1639653,68;2007;14
ANDALUCIA;10878709,25;2007;01
MADRID;7703780,59;2007;13
CASTILLA LA MANCHA;2759416,08;2007;08
EXTREMADURA;1404383,93;2007;11
CASTILLA LEON;4210337,56;2007;07
