CCAA	densidad	tasa_natilidad	tasa_mortalidad	esperanza_vida	riesgo_pobreza	idh	gini	deuda_total	deficit	tasa_desempleo	ipc
Andalucía	97	7.73	9.34	81.46	32.3	0.874	34.5	37291	-243	20.3	104.067
Aragón	28	7.11	10.91	83.25	15.8	0.912	29.6	9060	-42	9.2	104.272
Asturias	96	4.74	13.25	82.75	20.4	0.9	29.8	4368	247	10.1	103.853
Cantabria	110	5.61	10.34	83.63	15.4	0.902	30.2	3426	120	11.6	104.261
Ceuta	4176	8.6	8.07	78.3	32.3	0.858	34.3	NA	NA	31.2	103.483
Castilla y León	25	5.5	12.31	83.94	17.9	0.91	29.3	13215	-76	10.5	104.415
Castilla-La Mancha	26	7.07	9.93	83.02	27.4	0.891	30.7	15498	103	13.3	104.514
Canarias	301	5.83	7.86	82.12	28.4	0.887	32.5	6434	202	19.2	103.772
Cataluña	239	7.43	8.94	83.34	14.8	0.909	30.1	82393	-935	10.2	103.727
Extremadura	25	6.84	11.63	82.19	32.3	0.882	33.7	5046	49	19.3	104.161
Galicia	91	5.49	12.19	83.41	20.2	0.899	30	11715	-87	10.9	104.079
Islas Baleares	244	8.03	7.43	83	17.6	0.901	31.5	9005	308	14.6	103.77
Región de Murcia	134	9.07	8.32	82.21	27.7	0.889	32.1	10959	-481	13.2	103.929
Comunidad de Madrid	842	7.63	7.4	84.56	15.2	0.927	30.3	34410	642	10.2	103.732
Melilla	7002	10.89	6.59	79.72	30.1	0.867	33.6	NA	NA	26.5	104.096
Navarra	63	7.71	8.7	84.26	9.8	0.924	27.8	3146	264	10	104.029
País Vasco	302	6.46	10.45	83.71	12.2	0.923	28.6	11173	738	9.1	103.833
La Rioja	63	6.86	10.68	83.27	16.1	0.91	29.9	1652	-2	10.5	104.444
Comunidad Valenciana	217	7.01	9.76	82.21	25.1	0.895	31.7	53280	-1144	14.6	104.092
