MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA_CODE,OBS_VALUE,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Rússia,Rusia,RU,,Baixa fiabilitat,Baja fiabilidad,U,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Rússia,Rusia,RU,,Valor no disponible,Valor no disponible,O,,,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,365109,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,4.39,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Món (exclosa Espanya),Mundo (excluida España),5000_XES,238198,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Món (exclosa Espanya),Mundo (excluida España),5000_XES,11.07,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Alemanya,Alemania,DE,138321,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alemanya,Alemania,DE,10.75,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,126911,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,-6.20,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Països Nòrdics,Países Nórdicos,5100_L1,6011,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Països Nòrdics,Países Nórdicos,5100_L1,-12.54,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,27363,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,33.69,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,6445,Valor provisional,Valor provisional,P,,,,
