MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TERRITORIO#ca,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA_CODE,OBS_VALUE,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es
Turistes,Turistas,TURISTAS,Illes Balears,Illes Balears,ES53,02/2025,02/2025,2025-M02,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,365109,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Mallorca,Mallorca,ES532,02/2025,02/2025,2025-M02,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,322033,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Menorca,Menorca,ES533,02/2025,02/2025,2025-M02,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,19773,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Eivissa i Formentera,Eivissa y Formentera,ES531,02/2025,02/2025,2025-M02,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,23302,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,02/2025,02/2025,2025-M02,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,4.39,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Mallorca,Mallorca,ES532,02/2025,02/2025,2025-M02,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,8.15,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Menorca,Menorca,ES533,02/2025,02/2025,2025-M02,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,45.56,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Eivissa i Formentera,Eivissa y Formentera,ES531,02/2025,02/2025,2025-M02,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,-39.33,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Illes Balears,Illes Balears,ES53,02/2025,02/2025,2025-M02,Món (exclosa Espanya),Mundo (excluida España),5000_XES,238198,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Mallorca,Mallorca,ES532,02/2025,02/2025,2025-M02,Món (exclosa Espanya),Mundo (excluida España),5000_XES,226958,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Menorca,Menorca,ES533,02/2025,02/2025,2025-M02,Món (exclosa Espanya),Mundo (excluida España),5000_XES,3937,Valor provisional,Valor provisional,P,,,,
