MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TERRITORIO#es,TERRITORIO#ca,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
Turistas,Turistes,TURISTAS,España,Espanya,ES,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,5397279,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Illes Balears,Illes Balears,ES53,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,238198,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Andalucía,Andalusia,ES61,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,775687,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Canarias,Canàries,ES70,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,1444472,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Cataluña,Catalunya,ES51,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,1136575,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Comunidad Valenciana,Comunitat Valenciana,ES52,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,670770,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Madrid (Comunidad de),Madrid (Comunitat de),ES30,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,643607,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Resto de España,Resta d'Espanya,ES_O,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,487970,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,España,Espanya,ES,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,7.65,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,11.08,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Andalucía,Andalusia,ES61,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,6.90,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Canarias,Canàries,ES70,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,2.59,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Cataluña,Catalunya,ES51,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,7.81,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Comunidad Valenciana,Comunitat Valenciana,ES52,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,15.15,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Madrid (Comunidad de),Madrid (Comunitat de),ES30,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,10.06,Valor provisional,Valor provisional,P,,,,
