MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,TIPOS_ALOJAMIENTO#es,TIPOS_ALOJAMIENTO#ca,TIPOS_ALOJAMIENTO_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,9951,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,94.43,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,52828,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,1.78,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Total,Total,_T,365109,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Total,Total,_T,4.39,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,167212,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,14.77,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,155925,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,-4.63,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,32020,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,-9.63,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,94569,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,-11.32,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,8528,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,72.25,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,209183,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,12.31,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,17466,Valor provisional,Valor provisional,P,,,,
