MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,TIPOS_ALOJAMIENTO#es,TIPOS_ALOJAMIENTO#ca,TIPOS_ALOJAMIENTO_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,OBS_VALUE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Total,Total,_T,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,365109,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,155925,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,209183,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Total,Total,_T,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,4.39,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,-4.63,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,12.31,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Total,Total,_T,Mundo (excluida España),Món (exclosa Espanya),5000_XES,238198,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,73834,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,164364,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Total,Total,_T,Mundo (excluida España),Món (exclosa Espanya),5000_XES,11.07,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,-7.10,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,21.77,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Total,Total,_T,Alemania,Alemanya,DE,138321,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Alemania,Alemanya,DE,39038,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Alemania,Alemanya,DE,99282,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Total,Total,_T,Alemania,Alemanya,DE,10.75,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Alemania,Alemanya,DE,-11.04,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Alemania,Alemanya,DE,22.55,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,126911,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,82091,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,44820,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,-6.20,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,-2.30,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,-12.59,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Total,Total,_T,Países Nórdicos,Països Nòrdics,5100_L1,6011,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Países Nórdicos,Països Nòrdics,5100_L1,3645,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Países Nórdicos,Països Nòrdics,5100_L1,2365,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Total,Total,_T,Países Nórdicos,Països Nòrdics,5100_L1,-12.54,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Países Nórdicos,Països Nòrdics,5100_L1,2.50,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Países Nórdicos,Països Nòrdics,5100_L1,-28.67,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Total,Total,_T,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,54671,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,15812,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,38859,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Total,Total,_T,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,8.38,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,-4.97,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,14.95,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Total,Total,_T,Francia,França,FR,9270,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Francia,França,FR,2636,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Francia,França,FR,6634,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Total,Total,_T,Francia,França,FR,9.58,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Francia,França,FR,-11.91,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Francia,França,FR,21.34,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Total,Total,_T,Reino Unido,Regne Unit,GB,21823,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Reino Unido,Regne Unit,GB,10413,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Reino Unido,Regne Unit,GB,11410,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Total,Total,_T,Reino Unido,Regne Unit,GB,-1.51,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Reino Unido,Regne Unit,GB,-12.13,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Reino Unido,Regne Unit,GB,10.71,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Total,Total,_T,Italia,Itàlia,IT,8102,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Italia,Itàlia,IT,,,,Baja fiabilidad,Baixa fiabilitat,U,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Italia,Itàlia,IT,5813,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Total,Total,_T,Italia,Itàlia,IT,400.30,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Italia,Itàlia,IT,,,,Valor no disponible,Valor no disponible,O,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Italia,Itàlia,IT,445.25,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Total,Total,_T,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,276644,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,176536,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,100108,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Total,Total,_T,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,5.59,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,-0.07,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,17.32,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Total,Total,_T,Mundo (excluida España),Món (exclosa Espanya),5000_XES,147620,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,81309,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,66311,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Total,Total,_T,Mundo (excluida España),Món (exclosa Espanya),5000_XES,6.00,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,-2.17,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,18.08,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Total,Total,_T,Alemania,Alemanya,DE,72260,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Alemania,Alemanya,DE,35441,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Alemania,Alemanya,DE,36819,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Total,Total,_T,Alemania,Alemanya,DE,5.66,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Alemania,Alemanya,DE,-10.16,,,Valor provisional,Valor provisional,P,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Alemania,Alemanya,DE,27.21,,,Valor provisional,Valor provisional,P,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,129024,,,Valor provisional,Valor provisional,P,,
