MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#es,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#ca,MOTIVO_PRINCIPAL_VIAJE_TURISTICO_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Total,Total,_T,365109,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,73946,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,32292,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,258870,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Total,Total,_T,4.39,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-6.19,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,3.82,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,7.95,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Total,Total,_T,238198,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,23148,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,17601,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,197449,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Total,Total,_T,11.07,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-14.53,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,98.37,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,10.62,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,Total,Total,_T,138321,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,9916,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,9292,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,119113,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,Total,Total,_T,10.75,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-9.05,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,211.35,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,7.30,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Total,Total,_T,126911,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,50799,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,14691,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,61421,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Total,Total,_T,-6.20,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-1.82,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,-33.92,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,0.16,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Total,Total,_T,78054,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,9982,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,6446,,,,,Valor provisional,Valor provisional,P
