MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA_CODE,PAQUETE_TURISTICO#ca,PAQUETE_TURISTICO#es,PAQUETE_TURISTICO_CODE,OBS_VALUE,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Sí,Sí,SI,74064,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Total,Total,_T,365109,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,No,No,NO,291045,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Sí,Sí,SI,13.34,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Total,Total,_T,4.39,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,No,No,NO,2.34,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Món (exclosa Espanya),Mundo (excluida España),5000_XES,Sí,Sí,SI,57950,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Món (exclosa Espanya),Mundo (excluida España),5000_XES,Total,Total,_T,238198,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Món (exclosa Espanya),Mundo (excluida España),5000_XES,No,No,NO,180248,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Món (exclosa Espanya),Mundo (excluida España),5000_XES,Sí,Sí,SI,12.68,,,Valor provisional,Valor provisional,P,,
