MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,TERRITORIO#es,TERRITORIO#ca,TERRITORIO_CODE,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#es,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#ca,MOTIVO_PRINCIPAL_VIAJE_TURISTICO_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Illes Balears,Illes Balears,ES53,Total,Total,_T,365109,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Illes Balears,Illes Balears,ES53,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,73946,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Illes Balears,Illes Balears,ES53,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,32292,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Illes Balears,Illes Balears,ES53,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,258870,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Illes Balears,Illes Balears,ES53,Total,Total,_T,4.39,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Illes Balears,Illes Balears,ES53,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-6.19,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Illes Balears,Illes Balears,ES53,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,3.82,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Illes Balears,Illes Balears,ES53,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,7.95,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Mallorca,Mallorca,ES532,Total,Total,_T,322033,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Mallorca,Mallorca,ES532,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,58916,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Mallorca,Mallorca,ES532,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,28186,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Mallorca,Mallorca,ES532,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,234932,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Mallorca,Mallorca,ES532,Total,Total,_T,8.15,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Mallorca,Mallorca,ES532,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-8.21,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Mallorca,Mallorca,ES532,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,22.96,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Mallorca,Mallorca,ES532,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,11.53,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Menorca,Menorca,ES533,Total,Total,_T,19773,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Menorca,Menorca,ES533,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,7961,Valor provisional,Valor provisional,P,,,,
