MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,TERRITORIO#ca,TERRITORIO#es,TERRITORIO_CODE,PAQUETE_TURISTICO#ca,PAQUETE_TURISTICO#es,PAQUETE_TURISTICO_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,74064,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Illes Balears,Illes Balears,ES53,Total,Total,_T,365109,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Illes Balears,Illes Balears,ES53,No,No,NO,291045,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,13.34,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Illes Balears,Illes Balears,ES53,Total,Total,_T,4.39,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Illes Balears,Illes Balears,ES53,No,No,NO,2.34,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Mallorca,Mallorca,ES532,Sí,Sí,SI,73102,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Mallorca,Mallorca,ES532,Total,Total,_T,322033,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Mallorca,Mallorca,ES532,No,No,NO,248931,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Mallorca,Mallorca,ES532,Sí,Sí,SI,15.35,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Mallorca,Mallorca,ES532,Total,Total,_T,8.15,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Mallorca,Mallorca,ES532,No,No,NO,6.21,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Menorca,Menorca,ES533,Sí,Sí,SI,916,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Menorca,Menorca,ES533,Total,Total,_T,19773,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Menorca,Menorca,ES533,No,No,NO,18857,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Menorca,Menorca,ES533,Sí,Sí,SI,29.07,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Menorca,Menorca,ES533,Total,Total,_T,45.56,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Menorca,Menorca,ES533,No,No,NO,46.47,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,,,,,,Baixa fiabilitat,Baja fiabilidad,U
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,23302,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,23257,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,,,,,,Valor no disponible,Valor no disponible,O
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,-39.33,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,-37.39,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,27673,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Illes Balears,Illes Balears,ES53,Total,Total,_T,276644,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Illes Balears,Illes Balears,ES53,No,No,NO,248971,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,81.75,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Illes Balears,Illes Balears,ES53,Total,Total,_T,5.59,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Illes Balears,Illes Balears,ES53,No,No,NO,0.89,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Mallorca,Mallorca,ES532,Sí,Sí,SI,27473,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Mallorca,Mallorca,ES532,Total,Total,_T,235664,,,,,Valor provisional,Valor provisional,P
