TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,AEROPUERTO_ORIGEN#es,AEROPUERTO_ORIGEN#ca,AEROPUERTO_ORIGEN_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
02/2025,02/2025,2025-M02,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,61.55,Valor provisional,Valor provisional,P,,,,
02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,6.89,Valor provisional,Valor provisional,P,,,,
02/2025,02/2025,2025-M02,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor provisional,Valor provisional,P,,,,
02/2025,02/2025,2025-M02,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,31.56,Valor provisional,Valor provisional,P,,,,
02/2025,02/2025,2025-M02,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,12.62,Valor provisional,Valor provisional,P,,,,
02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,87.02,Valor provisional,Valor provisional,P,,,,
02/2025,02/2025,2025-M02,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor provisional,Valor provisional,P,,,,
02/2025,02/2025,2025-M02,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,,Baja fiabilidad,Baixa fiabilitat,U,,,,
02/2025,02/2025,2025-M02,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,41.39,Valor provisional,Valor provisional,P,,,,
02/2025,02/2025,2025-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,39.91,Valor provisional,Valor provisional,P,,,,
02/2025,02/2025,2025-M02,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor provisional,Valor provisional,P,,,,
02/2025,02/2025,2025-M02,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,18.70,Valor provisional,Valor provisional,P,,,,
01/2025,01/2025,2025-M01,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,59.36,Valor provisional,Valor provisional,P,,,,
