Provincias;Ramas de actividad;Periodo;Total
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2022 (P);9.485.962
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021;8.853.382
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;8.010.434
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;8.627.212
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2018;8.285.269
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2017;7.992.903
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2016;7.570.409
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2015;7.415.263
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2014;6.986.452
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2013;7.071.745
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2012;7.136.920
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2011;7.336.142
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2010;7.475.952
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2009;7.493.648
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2008;7.511.732
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2007;7.104.349
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2006;6.734.916
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2005;6.260.662
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2004;5.802.670
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2003;5.438.063
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2002;5.217.573
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2001;4.795.661
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2000;4.356.366
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2022 (P);653.287
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2021;872.169
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2020;761.462
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2019;805.006
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2018;809.927
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2017;729.804
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2016;747.436
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2015;617.781
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2014;435.097
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2013;598.584
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2012;569.447
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2011;506.684
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2010;535.107
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2009;516.966
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2008;520.362
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2007;603.542
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2006;568.060
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2005;573.545
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2004;626.831
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2003;619.160
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2002;619.239
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2001;575.968
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2000;476.235
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2022 (P);1.923.163
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021;1.631.176
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;1.389.180
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;1.391.902
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2018;1.286.705
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2017;1.296.320
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2016;1.126.196
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2015;1.136.339
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2014;1.073.982
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2013;1.099.720
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2012;1.132.141
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2011;1.141.068
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2010;1.134.080
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2009;1.206.123
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2008;1.239.016
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2007;1.074.873
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2006;1.041.568
