Municipio,Categoria,Tipo,Valor,Year,Isla
ALARÓ,A 1 Ll,ESTABL.,NA,23,Mallorca
ALARÓ,A 1 Ll,PLACES,NA,23,Mallorca
ALARÓ,A 2 Ll,ESTABL.,NA,23,Mallorca
ALARÓ,A 2 Ll,PLACES,NA,23,Mallorca
ALARÓ,A 3 Ll,ESTABL.,NA,23,Mallorca
ALARÓ,A 3 Ll,PLACES,NA,23,Mallorca
ALARÓ,A 3 Ll SUP,ESTABL.,NA,23,Mallorca
ALARÓ,A 3 Ll SUP,PLACES,NA,23,Mallorca
ALARÓ,A 4 Ll,ESTABL.,NA,23,Mallorca
ALARÓ,A 4 Ll,PLACES,NA,23,Mallorca
ALARÓ,A 4 Ll SUP,ESTABL.,NA,23,Mallorca
ALARÓ,A 4 Ll SUP,PLACES,NA,23,Mallorca
ALARÓ,AG,ESTABL.,3,23,Mallorca
ALARÓ,AG,PLACES,29,23,Mallorca
ALARÓ,CH,ESTABL.,NA,23,Mallorca
ALARÓ,CH,PLACES,NA,23,Mallorca
ALARÓ,CT,ESTABL.,NA,23,Mallorca
ALARÓ,CT,PLACES,NA,23,Mallorca
ALARÓ,F,ESTABL.,NA,23,Mallorca
ALARÓ,F,PLACES,NA,23,Mallorca
ALARÓ,H 1*,ESTABL.,NA,23,Mallorca
ALARÓ,H 1*,PLACES,NA,23,Mallorca
ALARÓ,H 2*,ESTABL.,NA,23,Mallorca
ALARÓ,H 2*,PLACES,NA,23,Mallorca
ALARÓ,H 3*,ESTABL.,NA,23,Mallorca
ALARÓ,H 3*,PLACES,NA,23,Mallorca
ALARÓ,H 3*SUP,ESTABL.,NA,23,Mallorca
ALARÓ,H 3*SUP,PLACES,NA,23,Mallorca
ALARÓ,H 4*,ESTABL.,NA,23,Mallorca
ALARÓ,H 4*,PLACES,NA,23,Mallorca
ALARÓ,H 4* SUP,ESTABL.,NA,23,Mallorca
ALARÓ,H 4* SUP,PLACES,NA,23,Mallorca
ALARÓ,H 5*,ESTABL.,NA,23,Mallorca
ALARÓ,H 5*,PLACES,NA,23,Mallorca
ALARÓ,H 5* G.L.,ESTABL.,NA,23,Mallorca
ALARÓ,H 5* G.L.,PLACES,NA,23,Mallorca
ALARÓ,HA 1*,ESTABL.,NA,23,Mallorca
ALARÓ,HA 1*,PLACES,NA,23,Mallorca
ALARÓ,HA 2*,ESTABL.,NA,23,Mallorca
ALARÓ,HA 2*,PLACES,NA,23,Mallorca
ALARÓ,HA 3*,ESTABL.,NA,23,Mallorca
ALARÓ,HA 3*,PLACES,NA,23,Mallorca
ALARÓ,HA 3* SUP,ESTABL.,NA,23,Mallorca
ALARÓ,HA 3* SUP,PLACES,NA,23,Mallorca
ALARÓ,HA 4*,ESTABL.,NA,23,Mallorca
ALARÓ,HA 4*,PLACES,NA,23,Mallorca
ALARÓ,HA 4* SUP,ESTABL.,NA,23,Mallorca
ALARÓ,HA 4* SUP,PLACES,NA,23,Mallorca
ALARÓ,HA 5*,ESTABL.,NA,23,Mallorca
ALARÓ,HA 5*,PLACES,NA,23,Mallorca
ALARÓ,HO,ESTABL.,NA,23,Mallorca
ALARÓ,HO,PLACES,NA,23,Mallorca
ALARÓ,HR 5*,ESTABL.,NA,23,Mallorca
ALARÓ,HR 5*,PLACES,NA,23,Mallorca
ALARÓ,HR,ESTABL.,1,23,Mallorca
ALARÓ,HR,PLACES,50,23,Mallorca
ALARÓ,HS 1*,ESTABL.,NA,23,Mallorca
ALARÓ,HS 1*,PLACES,NA,23,Mallorca
ALARÓ,HS 2*,ESTABL.,NA,23,Mallorca
ALARÓ,HS 2*,PLACES,NA,23,Mallorca
ALARÓ,HS 3*,ESTABL.,NA,23,Mallorca
ALARÓ,HS 3*,PLACES,NA,23,Mallorca
ALARÓ,HSR 1*,ESTABL.,NA,23,Mallorca
ALARÓ,HSR 1*,PLACES,NA,23,Mallorca
ALARÓ,HSR 2*,ESTABL.,1,23,Mallorca
ALARÓ,HSR 2*,PLACES,21,23,Mallorca
ALARÓ,HSR 3*,ESTABL.,NA,23,Mallorca
ALARÓ,HSR 3*,PLACES,NA,23,Mallorca
ALARÓ,PENS 2*,ESTABL.,NA,23,Mallorca
ALARÓ,PENS 2*,PLACES,NA,23,Mallorca
ALARÓ,TI,ESTABL.,9,23,Mallorca
ALARÓ,TI,PLACES,127,23,Mallorca
ALARÓ,TOTAL,ESTABL.,14,23,Mallorca
ALARÓ,TOTAL,PLACES,227,23,Mallorca
ALCÚDIA,A 1 Ll,ESTABL.,4,23,Mallorca
ALCÚDIA,A 1 Ll,PLACES,201,23,Mallorca
ALCÚDIA,A 2 Ll,ESTABL.,17,23,Mallorca
ALCÚDIA,A 2 Ll,PLACES,2053,23,Mallorca
ALCÚDIA,A 3 Ll,ESTABL.,5,23,Mallorca
ALCÚDIA,A 3 Ll,PLACES,4681,23,Mallorca
ALCÚDIA,A 3 Ll SUP,ESTABL.,1,23,Mallorca
ALCÚDIA,A 3 Ll SUP,PLACES,364,23,Mallorca
ALCÚDIA,A 4 Ll,ESTABL.,NA,23,Mallorca
ALCÚDIA,A 4 Ll,PLACES,NA,23,Mallorca
ALCÚDIA,A 4 Ll SUP,ESTABL.,NA,23,Mallorca
ALCÚDIA,A 4 Ll SUP,PLACES,NA,23,Mallorca
ALCÚDIA,AG,ESTABL.,4,23,Mallorca
ALCÚDIA,AG,PLACES,71,23,Mallorca
ALCÚDIA,CH,ESTABL.,NA,23,Mallorca
ALCÚDIA,CH,PLACES,NA,23,Mallorca
ALCÚDIA,CT,ESTABL.,NA,23,Mallorca
