CPRO,PROVINCIA,code_mun,municipality,total,male,female,year
07,Balears (Illes),001,Alaró,4032,1950,2082,2000
07,Balears (Illes),002,Alaior,7390,3679,3711,2000
07,Balears (Illes),003,Alcúdia,12152,6136,6016,2000
07,Balears (Illes),004,Algaida,3753,1896,1857,2000
07,Balears (Illes),005,Andratx,8655,4346,4309,2000
07,Balears (Illes),006,Artà,6140,3071,3069,2000
07,Balears (Illes),007,Banyalbufar,520,282,238,2000
07,Balears (Illes),008,Binissalem,5193,2503,2690,2000
07,Balears (Illes),009,Búger,932,472,460,2000
07,Balears (Illes),010,Bunyola,4745,2340,2405,2000
07,Balears (Illes),011,Calvià,37419,18777,18642,2000
07,Balears (Illes),012,Campanet,2346,1161,1185,2000
07,Balears (Illes),013,Campos,7074,3568,3506,2000
07,Balears (Illes),014,Capdepera,8008,4029,3979,2000
07,Balears (Illes),015,Ciutadella de Menorca,22925,11433,11492,2000
07,Balears (Illes),016,Consell,2327,1157,1170,2000
07,Balears (Illes),017,Costitx,903,442,461,2000
07,Balears (Illes),018,Deyá,652,328,324,2000
07,Balears (Illes),019,Escorca,318,168,150,2000
07,Balears (Illes),020,Esporles,3993,1982,2011,2000
07,Balears (Illes),021,Estellencs,357,181,176,2000
07,Balears (Illes),022,Felanitx,15238,7625,7613,2000
07,Balears (Illes),023,Ferreries,4061,2124,1937,2000
07,Balears (Illes),024,Formentera,6289,3196,3093,2000
07,Balears (Illes),025,Fornalutx,627,312,315,2000
07,Balears (Illes),026,Eivissa,33223,16590,16633,2000
07,Balears (Illes),027,Inca,22402,11107,11295,2000
07,Balears (Illes),028,Lloret de Vista Alegre,933,457,476,2000
07,Balears (Illes),029,Lloseta,4630,2308,2322,2000
07,Balears (Illes),030,Llubí,1909,949,960,2000
07,Balears (Illes),031,Llucmajor,23723,11866,11857,2000
07,Balears (Illes),032,Mahón,23189,11314,11875,2000
07,Balears (Illes),033,Manacor,30923,15386,15537,2000
07,Balears (Illes),034,Mancor de la Vall,914,448,466,2000
07,Balears (Illes),035,Maria de la Salut,1819,897,922,2000
07,Balears (Illes),036,Marratxí,20924,10531,10393,2000
07,Balears (Illes),037,Mercadal (Es),3104,1571,1533,2000
07,Balears (Illes),038,Montuïri,2317,1149,1168,2000
07,Balears (Illes),039,Muro,6340,3175,3165,2000
07,Balears (Illes),040,Palma de Mallorca,333925,162727,171198,2000
07,Balears (Illes),041,Petra,2600,1278,1322,2000
07,Balears (Illes),042,Pollença,14358,7158,7200,2000
07,Balears (Illes),043,Porreres,4283,2168,2115,2000
07,Balears (Illes),044,Pobla (Sa),10347,5335,5012,2000
07,Balears (Illes),045,Puigpunyent,1249,626,623,2000
07,Balears (Illes),046,Sant Antoni de Portmany,15775,8028,7747,2000
07,Balears (Illes),047,Sencelles,2125,1097,1028,2000
07,Balears (Illes),048,San José,14428,7372,7056,2000
07,Balears (Illes),049,Sant Joan,1686,833,853,2000
07,Balears (Illes),050,Sant Joan de Labritja,4194,2119,2075,2000
07,Balears (Illes),051,Sant Llorenç des Cardassar,6211,3121,3090,2000
07,Balears (Illes),052,Sant Lluís,4395,2220,2175,2000
07,Balears (Illes),053,Santa Eugènia,1228,610,618,2000
07,Balears (Illes),054,Santa Eulalia del Río,21991,11274,10717,2000
07,Balears (Illes),055,Santa Margalida,7943,3953,3990,2000
07,Balears (Illes),056,Santa María del Camí,4740,2342,2398,2000
07,Balears (Illes),057,Santanyí,8957,4527,4430,2000
07,Balears (Illes),058,Selva,2983,1457,1526,2000
07,Balears (Illes),059,Salines (Ses),3528,1804,1724,2000
07,Balears (Illes),060,Sineu,2724,1336,1388,2000
07,Balears (Illes),061,Sóller,11521,5727,5794,2000
07,Balears (Illes),062,Son Servera,9562,4832,4730,2000
07,Balears (Illes),063,Valldemosa,1670,810,860,2000
07,Balears (Illes),064,Castell (Es),6504,3286,3218,2000
07,Balears (Illes),065,Vilafranca de Bonany,2366,1162,1204,2000
07,Balears (Illes),901,Ariany,790,397,393,2000
07,Balears (Illes),902,Migjorn Gran (Es),1148,590,558,2000
07,Balears (Illes),002,Alaior,7684,3841,3843,2001
07,Balears (Illes),001,Alaró,4121,2004,2117,2001
07,Balears (Illes),003,Alcúdia,12942,6580,6362,2001
07,Balears (Illes),004,Algaida,3868,1970,1898,2001
07,Balears (Illes),005,Andratx,9034,4547,4487,2001
07,Balears (Illes),901,Ariany,782,394,388,2001
07,Balears (Illes),006,Artà,6228,3100,3128,2001
07,Balears (Illes),007,Banyalbufar,534,284,250,2001
07,Balears (Illes),008,Binissalem,5424,2638,2786,2001
07,Balears (Illes),009,Búger,946,478,468,2001
07,Balears (Illes),010,Bunyola,4910,2446,2464,2001
07,Balears (Illes),011,Calvià,38841,19552,19289,2001
07,Balears (Illes),012,Campanet,2366,1173,1193,2001
07,Balears (Illes),013,Campos,7132,3598,3534,2001
07,Balears (Illes),014,Capdepera,8672,4379,4293,2001
07,Balears (Illes),064,Castell (Es),6681,3371,3310,2001
07,Balears (Illes),015,Ciutadella de Menorca,23706,11861,11845,2001
07,Balears (Illes),016,Consell,2403,1199,1204,2001
07,Balears (Illes),017,Costitx,931,458,473,2001
07,Balears (Illes),018,Deyá,677,344,333,2001
07,Balears (Illes),026,Eivissa,34779,17483,17296,2001
07,Balears (Illes),019,Escorca,306,163,143,2001
07,Balears (Illes),020,Esporles,4082,2026,2056,2001
07,Balears (Illes),021,Estellencs,371,189,182,2001
07,Balears (Illes),022,Felanitx,15533,7828,7705,2001
07,Balears (Illes),023,Ferreries,4134,2166,1968,2001
07,Balears (Illes),024,Formentera,6875,3493,3382,2001
07,Balears (Illes),025,Fornalutx,624,313,311,2001
07,Balears (Illes),027,Inca,23361,11683,11678,2001
07,Balears (Illes),028,Lloret de Vistalegre,966,472,494,2001
07,Balears (Illes),029,Lloseta,4736,2368,2368,2001
07,Balears (Illes),030,Llubí,1931,964,967,2001
07,Balears (Illes),031,Llucmajor,24750,12411,12339,2001
07,Balears (Illes),032,Mahón,23993,11803,12190,2001
07,Balears (Illes),033,Manacor,31575,15805,15770,2001
07,Balears (Illes),034,Mancor de la Vall,924,450,474,2001
07,Balears (Illes),035,Maria de la Salut,1861,925,936,2001
07,Balears (Illes),036,Marratxí,22275,11231,11044,2001
07,Balears (Illes),037,Mercadal (Es),3268,1657,1611,2001
07,Balears (Illes),902,Migjorn Gran (Es),1204,614,590,2001
07,Balears (Illes),038,Montuïri,2406,1227,1179,2001
07,Balears (Illes),039,Muro,6359,3203,3156,2001
07,Balears (Illes),040,Palma de Mallorca,346720,169601,177119,2001
07,Balears (Illes),041,Petra,2634,1309,1325,2001
07,Balears (Illes),044,Pobla (Sa),10736,5620,5116,2001
07,Balears (Illes),042,Pollença,14647,7302,7345,2001
07,Balears (Illes),043,Porreres,4363,2258,2105,2001
07,Balears (Illes),045,Puigpunyent,1314,663,651,2001
07,Balears (Illes),059,Salines (Ses),3478,1769,1709,2001
07,Balears (Illes),046,Sant Antoni de Portmany,16209,8277,7932,2001
07,Balears (Illes),049,Sant Joan,1691,844,847,2001
07,Balears (Illes),050,Sant Joan de Labritja,4401,2228,2173,2001
07,Balears (Illes),048,Sant Josep de sa Talaia,15190,7780,7410,2001
07,Balears (Illes),051,Sant Llorenç des Cardassar,6692,3385,3307,2001
07,Balears (Illes),052,Sant Lluís,4626,2320,2306,2001
07,Balears (Illes),053,Santa Eugènia,1265,632,633,2001
07,Balears (Illes),054,Santa Eulalia del Río,23755,12196,11559,2001
07,Balears (Illes),055,Santa Margalida,8306,4159,4147,2001
07,Balears (Illes),056,Santa María del Camí,4937,2449,2488,2001
07,Balears (Illes),057,Santanyí,9405,4801,4604,2001
07,Balears (Illes),058,Selva,2975,1457,1518,2001
07,Balears (Illes),047,Sencelles,2214,1143,1071,2001
07,Balears (Illes),060,Sineu,2789,1368,1421,2001
07,Balears (Illes),061,Sóller,11705,5852,5853,2001
07,Balears (Illes),062,Son Servera,10179,5158,5021,2001
07,Balears (Illes),063,Valldemosa,1770,872,898,2001
07,Balears (Illes),065,Vilafranca de Bonany,2431,1206,1225,2001
07,Balears (Illes),002,Alaior,7982,4007,3975,2002
07,Balears (Illes),001,Alaró,4320,2117,2203,2002
07,Balears (Illes),003,Alcúdia,13824,7058,6766,2002
07,Balears (Illes),004,Algaida,3902,1998,1904,2002
07,Balears (Illes),005,Andratx,9454,4770,4684,2002
07,Balears (Illes),901,Ariany,782,392,390,2002
07,Balears (Illes),006,Artà,6305,3156,3149,2002
07,Balears (Illes),007,Banyalbufar,558,293,265,2002
07,Balears (Illes),008,Binissalem,5618,2756,2862,2002
07,Balears (Illes),009,Búger,982,495,487,2002
07,Balears (Illes),010,Bunyola,5114,2568,2546,2002
07,Balears (Illes),011,Calvià,40979,20723,20256,2002
07,Balears (Illes),012,Campanet,2412,1206,1206,2002
07,Balears (Illes),013,Campos,7330,3689,3641,2002
07,Balears (Illes),014,Capdepera,9166,4617,4549,2002
07,Balears (Illes),064,Castell (Es),6948,3502,3446,2002
07,Balears (Illes),015,Ciutadella de Menorca,24741,12377,12364,2002
07,Balears (Illes),016,Consell,2494,1244,1250,2002
07,Balears (Illes),017,Costitx,971,478,493,2002
07,Balears (Illes),018,Deyá,731,378,353,2002
07,Balears (Illes),026,Eivissa,37408,18959,18449,2002
07,Balears (Illes),019,Escorca,312,170,142,2002
07,Balears (Illes),020,Esporles,4197,2069,2128,2002
07,Balears (Illes),021,Estellencs,376,192,184,2002
07,Balears (Illes),022,Felanitx,16049,8109,7940,2002
07,Balears (Illes),023,Ferreries,4262,2242,2020,2002
07,Balears (Illes),024,Formentera,7461,3798,3663,2002
07,Balears (Illes),025,Fornalutx,656,337,319,2002
07,Balears (Illes),027,Inca,24467,12289,12178,2002
07,Balears (Illes),028,Lloret de Vistalegre,1017,502,515,2002
07,Balears (Illes),029,Lloseta,4909,2485,2424,2002
07,Balears (Illes),030,Llubí,1964,976,988,2002
07,Balears (Illes),031,Llucmajor,26466,13322,13144,2002
07,Balears (Illes),032,Mahón,25187,12452,12735,2002
07,Balears (Illes),033,Manacor,33326,16787,16539,2002
07,Balears (Illes),034,Mancor de la Vall,943,464,479,2002
07,Balears (Illes),035,Maria de la Salut,1975,997,978,2002
07,Balears (Illes),036,Marratxí,23953,12123,11830,2002
07,Balears (Illes),037,Mercadal (Es),3532,1794,1738,2002
07,Balears (Illes),902,Migjorn Gran (Es),1226,621,605,2002
07,Balears (Illes),038,Montuïri,2510,1277,1233,2002
07,Balears (Illes),039,Muro,6478,3292,3186,2002
07,Balears (Illes),040,Palma de Mallorca,358462,175992,182470,2002
07,Balears (Illes),041,Petra,2662,1317,1345,2002
07,Balears (Illes),044,Pobla (Sa),11103,5828,5275,2002
07,Balears (Illes),042,Pollença,15074,7534,7540,2002
07,Balears (Illes),043,Porreres,4450,2331,2119,2002
07,Balears (Illes),045,Puigpunyent,1399,718,681,2002
07,Balears (Illes),059,Salines (Ses),3930,2005,1925,2002
07,Balears (Illes),046,Sant Antoni de Portmany,16742,8605,8137,2002
07,Balears (Illes),049,Sant Joan,1737,873,864,2002
07,Balears (Illes),050,Sant Joan de Labritja,4620,2361,2259,2002
