year,month,municipality,code_mun,tourists,citizens,sleeping_places
2019,07,Alaró,1,2077,5572,212
2020,07,Alaró,1,611,5617,212
2021,07,Alaró,1,1475,5741,232
2022,07,Alaró,1,1989,5811,218
2023,07,Alaró,1,1919,5909,227
2019,08,Alaró,1,2234,5572,212
2020,08,Alaró,1,781,5617,212
2021,08,Alaró,1,1570,5741,232
2022,08,Alaró,1,2033,5811,218
2023,08,Alaró,1,2194,5909,227
2019,09,Alaró,1,2398,5572,212
2020,09,Alaró,1,313,5617,212
2021,09,Alaró,1,1318,5741,232
2022,09,Alaró,1,1757,5811,218
2023,09,Alaró,1,2167,5909,227
2019,10,Alaró,1,1704,5572,212
2020,10,Alaró,1,281,5617,212
2021,10,Alaró,1,1582,5741,232
2022,10,Alaró,1,1407,5811,218
2023,10,Alaró,1,1804,5909,227
2019,11,Alaró,1,700,5572,212
2020,11,Alaró,1,166,5617,212
2021,11,Alaró,1,526,5741,232
2022,11,Alaró,1,573,5811,218
2023,11,Alaró,1,610,5909,227
2019,12,Alaró,1,458,5572,212
2020,12,Alaró,1,189,5617,212
2021,12,Alaró,1,351,5741,232
2022,12,Alaró,1,420,5811,218
2023,12,Alaró,1,454,5909,227
2020,01,Alaró,1,577,5617,212
2021,01,Alaró,1,221,5741,232
2022,01,Alaró,1,456,5811,218
2023,01,Alaró,1,517,5909,227
2020,02,Alaró,1,506,5617,212
2021,02,Alaró,1,184,5741,232
2022,02,Alaró,1,489,5811,218
2023,02,Alaró,1,458,5909,227
2020,03,Alaró,1,472,5617,212
2021,03,Alaró,1,219,5741,232
2022,03,Alaró,1,818,5811,218
2023,03,Alaró,1,800,5909,227
2020,04,Alaró,1,84,5617,212
2021,04,Alaró,1,535,5741,232
2022,04,Alaró,1,2035,5811,218
2023,04,Alaró,1,1959,5909,227
2020,05,Alaró,1,81,5617,212
2021,05,Alaró,1,787,5741,232
2022,05,Alaró,1,1864,5811,218
2023,05,Alaró,1,1911,5909,227
2020,06,Alaró,1,132,5617,212
2021,06,Alaró,1,918,5741,232
2022,06,Alaró,1,1918,5811,218
2023,06,Alaró,1,1816,5909,227
2019,07,Alcúdia,3,97417,20241,27878
2020,07,Alcúdia,3,12073,20819,27941
2021,07,Alcúdia,3,37549,20651,27941
2022,07,Alcúdia,3,105047,20717,27941
